?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/AfPO_0000500>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hadiya"@en	
<http://purl.obolibrary.org/obo/AfPO_0000500>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hadiya"	
<http://purl.obolibrary.org/obo/AfPO_0000209>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ari"	
<http://purl.obolibrary.org/obo/AfPO_0000577>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mwali"	
<http://purl.obolibrary.org/obo/AfPO_0000549>	<http://www.w3.org/2000/01/rdf-schema#label>	"Limba"@en	
<http://purl.obolibrary.org/obo/AfPO_0000549>	<http://www.w3.org/2000/01/rdf-schema#label>	"Limba"	
<http://purl.obolibrary.org/obo/AfPO_0000469>	<http://www.w3.org/2000/01/rdf-schema#label>	"Obamba"@en	
<http://purl.obolibrary.org/obo/AfPO_0000469>	<http://www.w3.org/2000/01/rdf-schema#label>	"Obamba"	
<http://purl.obolibrary.org/obo/AfPO_0000141>	<http://www.w3.org/2000/01/rdf-schema#label>	"Soninke"	
<http://purl.obolibrary.org/obo/AfPO_0000252>	<http://www.w3.org/2000/01/rdf-schema#label>	"Zafimaniry"	
<http://purl.obolibrary.org/obo/AfPO_0000358>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nubian Northern"	
<http://purl.obolibrary.org/obo/AfPO_0000261>	<http://www.w3.org/2000/01/rdf-schema#label>	"Zoreille"	
<http://purl.obolibrary.org/obo/AfPO_0000529>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bassari"@en	
<http://purl.obolibrary.org/obo/AfPO_0000529>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bassari"	
<http://purl.obolibrary.org/obo/AfPO_0000126>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nuer"	
<http://purl.obolibrary.org/obo/AfPO_0000259>	<http://www.w3.org/2000/01/rdf-schema#label>	"Malbar"	
<http://purl.obolibrary.org/obo/AfPO_0000558>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mankanya"@en	
<http://purl.obolibrary.org/obo/AfPO_0000558>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mankanya"	
<http://purl.obolibrary.org/obo/AfPO_0000088>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kikuyu"	
<http://purl.obolibrary.org/obo/AfPO_0000304>	<http://www.w3.org/2000/01/rdf-schema#label>	"Zande"	
<http://purl.obolibrary.org/obo/AfPO_0000384>	<http://www.w3.org/2000/01/rdf-schema#label>	"Agaw"	
<http://purl.obolibrary.org/obo/AfPO_0000405>	<http://www.w3.org/2000/01/rdf-schema#label>	"Luhya"	
<http://purl.obolibrary.org/obo/AfPO_0000362>	<http://www.w3.org/2000/01/rdf-schema#label>	"Shilha"	
<http://purl.obolibrary.org/obo/AfPO_0000393>	<http://www.w3.org/2000/01/rdf-schema#label>	"Habesha"	
<http://purl.obolibrary.org/obo/AfPO_0000071>	<http://www.w3.org/2000/01/rdf-schema#label>	"Dinka"	
<http://purl.obolibrary.org/obo/AfPO_0000080>	<http://www.w3.org/2000/01/rdf-schema#label>	"Masalit"	
<http://purl.obolibrary.org/obo/AfPO_0000333>	<http://www.w3.org/2000/01/rdf-schema#label>	"Khoisan South"	
<http://purl.obolibrary.org/obo/AfPO_0000342>	<http://www.w3.org/2000/01/rdf-schema#label>	"Shona"	
<http://purl.obolibrary.org/obo/AfPO_0000215>	<http://www.w3.org/2000/01/rdf-schema#label>	"Halfawieen"	
<http://purl.obolibrary.org/obo/AfPO_0000574>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kissi"	
<http://purl.obolibrary.org/obo/AfPO_0000514>	<http://www.w3.org/2000/01/rdf-schema#label>	"Teso"@en	
<http://purl.obolibrary.org/obo/AfPO_0000514>	<http://www.w3.org/2000/01/rdf-schema#label>	"Teso"	
<http://purl.obolibrary.org/obo/AfPO_0000475>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mangbetu"@en	
<http://purl.obolibrary.org/obo/AfPO_0000475>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mangbetu"	
<http://purl.obolibrary.org/obo/AfPO_0000295>	<http://www.w3.org/2000/01/rdf-schema#label>	"Moghamo"	
<http://purl.obolibrary.org/obo/AfPO_0000415>	<http://www.w3.org/2000/01/rdf-schema#label>	"Buduma"	
<http://purl.obolibrary.org/obo/AfPO_0000244>	<http://www.w3.org/2000/01/rdf-schema#label>	"Burunge"	
<http://purl.obolibrary.org/obo/AfPO_0000528>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bedik"@en	
<http://purl.obolibrary.org/obo/AfPO_0000528>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bedik"	
<http://purl.obolibrary.org/obo/AfPO_0000275>	<http://www.w3.org/2000/01/rdf-schema#label>	"Northern African"	
<http://purl.obolibrary.org/obo/AfPO_0000253>	<http://www.w3.org/2000/01/rdf-schema#label>	"Merina"	
<http://purl.obolibrary.org/obo/AfPO_0000224>	<http://www.w3.org/2000/01/rdf-schema#label>	"Jarawa"	
<http://purl.obolibrary.org/obo/AfPO_0000557>	<http://www.w3.org/2000/01/rdf-schema#label>	"Yalunka"@en	
<http://purl.obolibrary.org/obo/AfPO_0000557>	<http://www.w3.org/2000/01/rdf-schema#label>	"Yalunka"	
<http://purl.obolibrary.org/obo/AfPO_0000530>	<http://www.w3.org/2000/01/rdf-schema#label>	"Diffa Arabs"@en	
<http://purl.obolibrary.org/obo/AfPO_0000530>	<http://www.w3.org/2000/01/rdf-schema#label>	"Diffa Arabs"	
<http://purl.obolibrary.org/obo/AfPO_0000087>	<http://www.w3.org/2000/01/rdf-schema#label>	"Igbo"	
<http://purl.obolibrary.org/obo/AfPO_0000431>	<http://www.w3.org/2000/01/rdf-schema#label>	"Marka"	
<http://purl.obolibrary.org/obo/AfPO_0000347>	<http://www.w3.org/2000/01/rdf-schema#label>	"Pedi"	
<http://purl.obolibrary.org/obo/AfPO_0000058>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tiv"	
<http://purl.obolibrary.org/obo/AfPO_0000402>	<http://www.w3.org/2000/01/rdf-schema#label>	"Embu"	
<http://purl.obolibrary.org/obo/AfPO_0000390>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lugbara"	
<http://purl.obolibrary.org/obo/AfPO_0000116>	<http://www.w3.org/2000/01/rdf-schema#label>	"Xhosa"	
<http://purl.obolibrary.org/obo/AfPO_0000438>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tutsi"	
<http://purl.obolibrary.org/obo/AfPO_0000491>	<http://www.w3.org/2000/01/rdf-schema#label>	"Segeju"@en	
<http://purl.obolibrary.org/obo/AfPO_0000491>	<http://www.w3.org/2000/01/rdf-schema#label>	"Segeju"	
<http://purl.obolibrary.org/obo/AfPO_0000376>	<http://www.w3.org/2000/01/rdf-schema#label>	"Turkana"	
<http://purl.obolibrary.org/obo/AfPO_0000496>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sukuma"@en	
<http://purl.obolibrary.org/obo/AfPO_0000496>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sukuma"	
<http://purl.obolibrary.org/obo/AfPO_0000207>	<http://www.w3.org/2000/01/rdf-schema#label>	"Banyarwanda"	
<http://purl.obolibrary.org/obo/AfPO_0000513>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nara"@en	
<http://purl.obolibrary.org/obo/AfPO_0000513>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nara"	
<http://purl.obolibrary.org/obo/AfPO_0000195>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mahas"	
<http://purl.obolibrary.org/obo/AfPO_0000440>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bamileke"	
<http://purl.obolibrary.org/obo/AfPO_0000547>	<http://www.w3.org/2000/01/rdf-schema#label>	"Grebo"@en	
<http://purl.obolibrary.org/obo/AfPO_0000547>	<http://www.w3.org/2000/01/rdf-schema#label>	"Grebo"	
<http://purl.obolibrary.org/obo/AfPO_0000356>	<http://www.w3.org/2000/01/rdf-schema#label>	"Berber Northern"	
<http://purl.obolibrary.org/obo/AfPO_0000373>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bari"	
<http://purl.obolibrary.org/obo/AfPO_0000274>	<http://www.w3.org/2000/01/rdf-schema#label>	"Central African"	
<http://purl.obolibrary.org/obo/AfPO_0000060>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nama"	
<http://purl.obolibrary.org/obo/AfPO_0000168>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bihari Mauritian"	
<http://purl.obolibrary.org/obo/AfPO_0000151>	<http://www.w3.org/2000/01/rdf-schema#label>	"Gurma"	
<http://purl.obolibrary.org/obo/AfPO_0000139>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bulsa"	
<http://purl.obolibrary.org/obo/AfPO_0000563>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lebu"@en	
<http://purl.obolibrary.org/obo/AfPO_0000563>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lebu"	
<http://purl.obolibrary.org/obo/AfPO_0000503>	<http://www.w3.org/2000/01/rdf-schema#label>	"Antambahoaka"@en	
<http://purl.obolibrary.org/obo/AfPO_0000503>	<http://www.w3.org/2000/01/rdf-schema#label>	"Antambahoaka"	
<http://purl.obolibrary.org/obo/AfPO_0000423>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ibibio"	
<http://purl.obolibrary.org/obo/AfPO_0000284>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mbuti"	
<http://purl.obolibrary.org/obo/AfPO_0000339>	<http://www.w3.org/2000/01/rdf-schema#label>	"Makua"	
<http://purl.obolibrary.org/obo/AfPO_0000264>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ubangi Central"	
<http://purl.obolibrary.org/obo/AfPO_0000149>	<http://www.w3.org/2000/01/rdf-schema#label>	"Frafra"	
<http://purl.obolibrary.org/obo/AfPO_0000546>	<http://www.w3.org/2000/01/rdf-schema#label>	"Krahn"@en	
<http://purl.obolibrary.org/obo/AfPO_0000546>	<http://www.w3.org/2000/01/rdf-schema#label>	"Krahn"	
<http://purl.obolibrary.org/obo/AfPO_0000355>	<http://www.w3.org/2000/01/rdf-schema#label>	"Andalusian"	
<http://purl.obolibrary.org/obo/AfPO_0000184>	<http://www.w3.org/2000/01/rdf-schema#label>	"Semitic Eastern"	
<http://purl.obolibrary.org/obo/AfPO_0000536>	<http://www.w3.org/2000/01/rdf-schema#label>	"Konkomba"@en	
<http://purl.obolibrary.org/obo/AfPO_0000536>	<http://www.w3.org/2000/01/rdf-schema#label>	"Konkomba"	
<http://purl.obolibrary.org/obo/AfPO_0000428>	<http://www.w3.org/2000/01/rdf-schema#label>	"Wolof"	
<http://purl.obolibrary.org/obo/AfPO_0000105>	<http://www.w3.org/2000/01/rdf-schema#label>	"Yoruba"	
<http://purl.obolibrary.org/obo/AfPO_0000480>	<http://www.w3.org/2000/01/rdf-schema#label>	"Podoko"@en	
<http://purl.obolibrary.org/obo/AfPO_0000480>	<http://www.w3.org/2000/01/rdf-schema#label>	"Podoko"	
<http://purl.obolibrary.org/obo/AfPO_0000365>	<http://www.w3.org/2000/01/rdf-schema#label>	"Egyptian"	
<http://purl.obolibrary.org/obo/AfPO_0000408>	<http://www.w3.org/2000/01/rdf-schema#label>	"Swahili"	
<http://purl.obolibrary.org/obo/AfPO_0000266>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bangba"	
<http://purl.obolibrary.org/obo/AfPO_0000396>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tigrinya"	
<http://purl.obolibrary.org/obo/AfPO_0000502>	<http://www.w3.org/2000/01/rdf-schema#label>	"Gabra"@en	
<http://purl.obolibrary.org/obo/AfPO_0000502>	<http://www.w3.org/2000/01/rdf-schema#label>	"Gabra"	
<http://purl.obolibrary.org/obo/AfPO_0000085>	<http://www.w3.org/2000/01/rdf-schema#label>	"Taita"	
<http://purl.obolibrary.org/obo/AfPO_0000345>	<http://www.w3.org/2000/01/rdf-schema#label>	"Venda"	
<http://purl.obolibrary.org/obo/AfPO_0000579>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kuria"	
<http://purl.obolibrary.org/obo/AfPO_0000263>	<http://www.w3.org/2000/01/rdf-schema#label>	"!Kung"	
<http://purl.obolibrary.org/obo/AfPO_0000179>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nankani"	
<http://purl.obolibrary.org/obo/AfPO_0000540>	<http://www.w3.org/2000/01/rdf-schema#label>	"Samoya"@en	
<http://purl.obolibrary.org/obo/AfPO_0000540>	<http://www.w3.org/2000/01/rdf-schema#label>	"Samoya"	
<http://purl.obolibrary.org/obo/AfPO_0000249>	<http://www.w3.org/2000/01/rdf-schema#label>	"Betsimisaraka"	
<http://purl.obolibrary.org/obo/AfPO_0000212>	<http://www.w3.org/2000/01/rdf-schema#label>	"Shaigiya"	
<http://purl.obolibrary.org/obo/AfPO_0000511>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kunama"@en	
<http://purl.obolibrary.org/obo/AfPO_0000511>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kunama"	
<http://purl.obolibrary.org/obo/AfPO_0000412>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bantu Western"	
<http://purl.obolibrary.org/obo/AfPO_0000398>	<http://www.w3.org/2000/01/rdf-schema#label>	"Baka_South_Sudan"	
<http://purl.obolibrary.org/obo/AfPO_0000292>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kongo"	
<http://purl.obolibrary.org/obo/AfPO_0000301>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mbunda"	
<http://purl.obolibrary.org/obo/AfPO_0000328>	<http://www.w3.org/2000/01/rdf-schema#label>	"Coloured"	
<http://purl.obolibrary.org/obo/AfPO_0000229>	<http://www.w3.org/2000/01/rdf-schema#label>	"Balanta"	
<http://purl.obolibrary.org/obo/AfPO_0000381>	<http://www.w3.org/2000/01/rdf-schema#label>	"Dongolese"	
<http://purl.obolibrary.org/obo/AfPO_0000489>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lambya"@en	
<http://purl.obolibrary.org/obo/AfPO_0000489>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lambya"	
<http://purl.obolibrary.org/obo/AfPO_0000330>	<http://www.w3.org/2000/01/rdf-schema#label>	"French diaspora"	
<http://purl.obolibrary.org/obo/AfPO_0000407>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nyoro"	
<http://purl.obolibrary.org/obo/AfPO_0000395>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sudanese Arab"	
<http://purl.obolibrary.org/obo/AfPO_0000239>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mang'anja"	
<http://purl.obolibrary.org/obo/AfPO_0000499>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elmolo"@en	
<http://purl.obolibrary.org/obo/AfPO_0000499>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elmolo"	
<http://purl.obolibrary.org/obo/AfPO_0000344>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tonga"	
<http://purl.obolibrary.org/obo/AfPO_0000516>	<http://www.w3.org/2000/01/rdf-schema#label>	"Aushi"@en	
<http://purl.obolibrary.org/obo/AfPO_0000516>	<http://www.w3.org/2000/01/rdf-schema#label>	"Aushi"	
<http://purl.obolibrary.org/obo/AfPO_0000525>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bamum"@en	
<http://purl.obolibrary.org/obo/AfPO_0000525>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bamum"	
<http://purl.obolibrary.org/obo/AfPO_0000417>	<http://www.w3.org/2000/01/rdf-schema#label>	"Edo"	
<http://purl.obolibrary.org/obo/AfPO_0000113>	<http://www.w3.org/2000/01/rdf-schema#label>	"Oromo"	
<http://purl.obolibrary.org/obo/AfPO_0000075>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sebei"	
<http://purl.obolibrary.org/obo/AfPO_0000255>	<http://www.w3.org/2000/01/rdf-schema#label>	"Vezo"	
<http://purl.obolibrary.org/obo/AfPO_0000554>	<http://www.w3.org/2000/01/rdf-schema#label>	"Loko"@en	
<http://purl.obolibrary.org/obo/AfPO_0000554>	<http://www.w3.org/2000/01/rdf-schema#label>	"Loko"	
<http://purl.obolibrary.org/obo/AfPO_0000300>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ovimbundu"	
<http://purl.obolibrary.org/obo/AfPO_0000426>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mole-Dagbani"	
<http://purl.obolibrary.org/obo/AfPO_0000508>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tanala"@en	
<http://purl.obolibrary.org/obo/AfPO_0000508>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tanala"	
<http://purl.obolibrary.org/obo/AfPO_0000103>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tsonga"	
<http://purl.obolibrary.org/obo/AfPO_0000360>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lybian Berber"	
<http://purl.obolibrary.org/obo/AfPO_0000238>	<http://www.w3.org/2000/01/rdf-schema#label>	"Yao"	
<http://purl.obolibrary.org/obo/AfPO_0000493>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nyamwezi"@en	
<http://purl.obolibrary.org/obo/AfPO_0000493>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nyamwezi"	
<http://purl.obolibrary.org/obo/AfPO_0000471>	<http://www.w3.org/2000/01/rdf-schema#label>	"Punu"@en	
<http://purl.obolibrary.org/obo/AfPO_0000471>	<http://www.w3.org/2000/01/rdf-schema#label>	"Punu"	
<http://purl.obolibrary.org/obo/AfPO_0000498>	<http://www.w3.org/2000/01/rdf-schema#label>	"Aweer"@en	
<http://purl.obolibrary.org/obo/AfPO_0000498>	<http://www.w3.org/2000/01/rdf-schema#label>	"Aweer"	
<http://purl.obolibrary.org/obo/AfPO_0000387>	<http://www.w3.org/2000/01/rdf-schema#label>	"Saho"	
<http://purl.obolibrary.org/obo/AfPO_0000281>	<http://www.w3.org/2000/01/rdf-schema#label>	"Pygmy Central"	
<http://purl.obolibrary.org/obo/AfPO_0000098>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nandi"	
<http://purl.obolibrary.org/obo/AfPO_0000442>	<http://www.w3.org/2000/01/rdf-schema#label>	"Isoko"	
<http://purl.obolibrary.org/obo/AfPO_0000524>	<http://www.w3.org/2000/01/rdf-schema#label>	"Baule"@en	
<http://purl.obolibrary.org/obo/AfPO_0000524>	<http://www.w3.org/2000/01/rdf-schema#label>	"Baule"	
<http://purl.obolibrary.org/obo/AfPO_0000370>	<http://www.w3.org/2000/01/rdf-schema#label>	"Malagasy"	
<http://purl.obolibrary.org/obo/AfPO_0000271>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sudanic"	
<http://purl.obolibrary.org/obo/AfPO_0000298>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ngamambo"	
<http://purl.obolibrary.org/obo/AfPO_0000478>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mbum"@en	
<http://purl.obolibrary.org/obo/AfPO_0000478>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mbum"	
<http://purl.obolibrary.org/obo/AfPO_0000187>	<http://www.w3.org/2000/01/rdf-schema#label>	"Pygmy Eastern"	
<http://purl.obolibrary.org/obo/AfPO_0000220>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sahrawi"	
<http://purl.obolibrary.org/obo/AfPO_0000247>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tsimihety"	
<http://purl.obolibrary.org/obo/AfPO_0000553>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kuranko"@en	
<http://purl.obolibrary.org/obo/AfPO_0000553>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kuranko"	
<http://purl.obolibrary.org/obo/AfPO_0000136>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ga-Adangbe"	
<http://purl.obolibrary.org/obo/AfPO_0000290>	<http://www.w3.org/2000/01/rdf-schema#label>	"Beti-Pahuin"	
<http://purl.obolibrary.org/obo/AfPO_0000153>	<http://www.w3.org/2000/01/rdf-schema#label>	"Dagaaba"	
<http://purl.obolibrary.org/obo/AfPO_0000533>	<http://www.w3.org/2000/01/rdf-schema#label>	"Gola"@en	
<http://purl.obolibrary.org/obo/AfPO_0000533>	<http://www.w3.org/2000/01/rdf-schema#label>	"Gola"	
<http://purl.obolibrary.org/obo/AfPO_0000505>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bezanozano"@en	
<http://purl.obolibrary.org/obo/AfPO_0000505>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bezanozano"	
<http://purl.obolibrary.org/obo/AfPO_0000425>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mande Western"	
<http://purl.obolibrary.org/obo/AfPO_0000434>	<http://www.w3.org/2000/01/rdf-schema#label>	"Zarma"	
<http://purl.obolibrary.org/obo/AfPO_0000102>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lunda"	
<http://purl.obolibrary.org/obo/AfPO_0000203>	<http://www.w3.org/2000/01/rdf-schema#label>	"Akan"	
<http://purl.obolibrary.org/obo/AfPO_0000064>	<http://www.w3.org/2000/01/rdf-schema#label>	"Susu"	
<http://purl.obolibrary.org/obo/AfPO_0000543>	<http://www.w3.org/2000/01/rdf-schema#label>	"Dan"@en	
<http://purl.obolibrary.org/obo/AfPO_0000543>	<http://www.w3.org/2000/01/rdf-schema#label>	"Dan"	
<http://purl.obolibrary.org/obo/AfPO_0000463>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hema"@en	
<http://purl.obolibrary.org/obo/AfPO_0000463>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hema"	
<http://purl.obolibrary.org/obo/AfPO_0000352>	<http://www.w3.org/2000/01/rdf-schema#label>	"North Ndebele"	
<http://purl.obolibrary.org/obo/AfPO_0000379>	<http://www.w3.org/2000/01/rdf-schema#label>	"Shilluk"	
<http://purl.obolibrary.org/obo/AfPO_0000186>	<http://www.w3.org/2000/01/rdf-schema#label>	"Semite Central"	
<http://purl.obolibrary.org/obo/AfPO_0000306>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sara"	
<http://purl.obolibrary.org/obo/AfPO_0000538>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lobi"@en	
<http://purl.obolibrary.org/obo/AfPO_0000538>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lobi"	
<http://purl.obolibrary.org/obo/AfPO_0000135>	<http://www.w3.org/2000/01/rdf-schema#label>	"Rendille"	
<http://purl.obolibrary.org/obo/AfPO_0000482>	<http://www.w3.org/2000/01/rdf-schema#label>	"Yaka"@en	
<http://purl.obolibrary.org/obo/AfPO_0000482>	<http://www.w3.org/2000/01/rdf-schema#label>	"Yaka"	
<http://purl.obolibrary.org/obo/AfPO_0000335>	<http://www.w3.org/2000/01/rdf-schema#label>	"Banareng"	
<http://purl.obolibrary.org/obo/AfPO_0000576>	<http://www.w3.org/2000/01/rdf-schema#label>	"Maore"	
<http://purl.obolibrary.org/obo/AfPO_0000468>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ngumba"@en	
<http://purl.obolibrary.org/obo/AfPO_0000468>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ngumba"	
<http://purl.obolibrary.org/obo/AfPO_0000251>	<http://www.w3.org/2000/01/rdf-schema#label>	"Betsileo"	
<http://purl.obolibrary.org/obo/AfPO_0000260>	<http://www.w3.org/2000/01/rdf-schema#label>	"Zarabe"	
<http://purl.obolibrary.org/obo/AfPO_0000287>	<http://www.w3.org/2000/01/rdf-schema#label>	"Twa"	
<http://purl.obolibrary.org/obo/AfPO_0000145>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tuareg"	
<http://purl.obolibrary.org/obo/AfPO_0000200>	<http://www.w3.org/2000/01/rdf-schema#label>	"Pygmy Southern"	
<http://purl.obolibrary.org/obo/AfPO_0000236>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ngoni"	
<http://purl.obolibrary.org/obo/AfPO_0000542>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bandial"@en	
<http://purl.obolibrary.org/obo/AfPO_0000542>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bandial"	
<http://purl.obolibrary.org/obo/AfPO_0000125>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hausa"	
<http://purl.obolibrary.org/obo/AfPO_0000351>	<http://www.w3.org/2000/01/rdf-schema#label>	"Swazi"	
<http://purl.obolibrary.org/obo/AfPO_0000522>	<http://www.w3.org/2000/01/rdf-schema#label>	"Fante"@en	
<http://purl.obolibrary.org/obo/AfPO_0000522>	<http://www.w3.org/2000/01/rdf-schema#label>	"Fante"	
<http://purl.obolibrary.org/obo/AfPO_0000414>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bubi"	
<http://purl.obolibrary.org/obo/AfPO_0000303>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ngbandi"	
<http://purl.obolibrary.org/obo/AfPO_0000383>	<http://www.w3.org/2000/01/rdf-schema#label>	"Afar"	
<http://purl.obolibrary.org/obo/AfPO_0000580>	<http://www.w3.org/2000/01/rdf-schema#label>	"Karonica"	
<http://purl.obolibrary.org/obo/AfPO_0000404>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kisii"	
<http://purl.obolibrary.org/obo/AfPO_0000392>	<http://www.w3.org/2000/01/rdf-schema#label>	"Gurage"	
<http://purl.obolibrary.org/obo/AfPO_0000289>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kanembu"	
<http://purl.obolibrary.org/obo/AfPO_0000551>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kono"@en	
<http://purl.obolibrary.org/obo/AfPO_0000551>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kono"	
<http://purl.obolibrary.org/obo/AfPO_0000332>	<http://www.w3.org/2000/01/rdf-schema#label>	"San"	
<http://purl.obolibrary.org/obo/AfPO_0000161>	<http://www.w3.org/2000/01/rdf-schema#label>	"Dyula"	
<http://purl.obolibrary.org/obo/AfPO_0000341>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ovambo"	
<http://purl.obolibrary.org/obo/AfPO_0000368>	<http://www.w3.org/2000/01/rdf-schema#label>	"Moor"	
<http://purl.obolibrary.org/obo/AfPO_0000269>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cushitic Eastern"	
<http://purl.obolibrary.org/obo/AfPO_0000527>	<http://www.w3.org/2000/01/rdf-schema#label>	"Luvale"@en	
<http://purl.obolibrary.org/obo/AfPO_0000527>	<http://www.w3.org/2000/01/rdf-schema#label>	"Luvale"	
<http://purl.obolibrary.org/obo/AfPO_0000279>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kotoko"	
<http://purl.obolibrary.org/obo/AfPO_0000490>	<http://www.w3.org/2000/01/rdf-schema#label>	"Masaba"@en	
<http://purl.obolibrary.org/obo/AfPO_0000490>	<http://www.w3.org/2000/01/rdf-schema#label>	"Masaba"	
<http://purl.obolibrary.org/obo/AfPO_0000225>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hadza"	
<http://purl.obolibrary.org/obo/AfPO_0000556>	<http://www.w3.org/2000/01/rdf-schema#label>	"Vai"@en	
<http://purl.obolibrary.org/obo/AfPO_0000556>	<http://www.w3.org/2000/01/rdf-schema#label>	"Vai"	
<http://purl.obolibrary.org/obo/AfPO_0000485>	<http://www.w3.org/2000/01/rdf-schema#label>	"Yakoma"@en	
<http://purl.obolibrary.org/obo/AfPO_0000485>	<http://www.w3.org/2000/01/rdf-schema#label>	"Yakoma"	
